Brand,Family,Reference,Name,Movement,Produced,Limited,Bezel,Glass,Back,Shape,Diameter,Height,Lug Width,W/R,Nickname,Color,Finish,Indexes,Hands,Price,Materials,image_file,image_file_processed
Bulgari,Serpenti,101828,Serpenti Tubogas Silver Large,"Bulgari caliber B033
Hours, Minutes",,No,,Sapphire,Closed,Other,35.00 mm,,,,,Silver,,Mixed,Sword,"""5100""",,101828.jpg,processed_101828.jpg
Bulgari,Octo,102104,Octo Solotempo 38 Black Bracelet,"Bulgari caliber BVL 191
Hours, Minutes, Seconds | Date",,No,,Sapphire,Open,Other,38.00 mm,,,100.00 m,,Black,Gloss,Stick / Dot,Dauphine,"""7000""",,102104.jpg,processed_102104.jpg
Bulgari,Bulgari Bulgari,102110,Bulgari Solotempo 39 Silver Bracelet,"Bulgari caliber BVL 191
Hours, Minutes, Seconds | Date",,No,,Sapphire,,Round,39.00 mm,9.91 mm,,,,Silver,,Mixed,Sword,"""6100""",,102110.jpg,processed_102110.jpg
Bulgari,Bulgari Bulgari,102111,Bulgari Solotempo 39 Silver,"Bulgari caliber BVL 191
Hours, Minutes, Seconds | Date",,No,,Sapphire,Open,Round,39.00 mm,9.91 mm,,,,Silver,,Mixed,Sword,"""5600""",,102111.jpg,processed_102111.jpg
Bulgari,Octo,102105,Octo Solotempo 38 Blue Bracelet,"Bulgari caliber BVL 191
Hours, Minutes, Seconds | Date",,No,,Sapphire,Open,Other,38.00 mm,10.35 mm,,100.00 m,,Blue,Gloss,Stick / Dot,Dauphine,"""7000""",,102105.jpg,processed_102105.jpg
Bulgari,Serpenti,101815,Serpenti Tubogas Pink Gold Black Diamond,"Bulgari caliber B033
Hours, Minutes",,No,Gem-Set,Sapphire,Closed,Other,35.00 mm,,,,,Black,,Mixed,Sword,"""29000""",,101815.jpg,processed_101815.jpg
Bulgari,B.Zero1,102176,B.Zero1 Pink Gold,"Bulgari caliber B033
Hours, Minutes",,No,,Sapphire,Closed,Round,23.00 mm,,,30.00 m,,White,,Gem-Set Indexes,Feuille,"""5350""","Pink Gold, Ceramic, Stainless Steel",102176.jpg,processed_102176.jpg
Bulgari,Bulgari Bulgari,101867,Bulgari Solotempo 41.5 Black,"Bulgari caliber BVL 191
Hours, Minutes, Seconds | Date",,No,,Sapphire,Open,Round,41.50 mm,9.86 mm,,,,Black,,Mixed,Sword,"""6050""",,101867.jpg,processed_101867.jpg
Bulgari,Serpenti,101911,Serpenti Tubogas Silver Double Tour,"Bulgari caliber B033
Hours, Minutes",,No,,Sapphire,Closed,Other,35.00 mm,,,,,Silver,,Mixed,Sword,"""7300""",,101911.jpg,processed_101911.jpg
Bulgari,Serpenti,101910,Serpenti Tubogas Silver Diamond Double Tour,"Bulgari caliber B033
Hours, Minutes",,No,,Sapphire,Closed,Other,35.00 mm,,,,,Silver,,Mixed,Sword,"""10500""",,101910.jpg,processed_101910.jpg
Bulgari,Serpenti,102202,Serpenti Spiga Pink Gold White,"Bulgari caliber B033
Hours, Minutes",,No,,Sapphire,Closed,Other,35.00 mm,,,,,White,,Mixed,Sword,"""21500""","Pink Gold, Ceramic",102202.jpg,processed_102202.jpg
Bulgari,B.Zero1,102398,B.Zero1 Two Tone Diamond,"Bulgari caliber B033
Hours, Minutes",,No,Gem-Set,Sapphire,Closed,Round,23.00 mm,,,30.00 m,,White,,Gem-Set Indexes,Feuille,"""7650""",,102398.jpg,processed_102398.jpg
Bulgari,Serpenti,102005,Serpenti Tubogas White Gold Diamond,"Bulgari caliber B033
Hours, Minutes",,No,Gem-Set,Sapphire,Closed,Other,35.00 mm,,,,,Paved,,Gem-Set Indexes,Sword,"""33750""",,102005.jpg,processed_102005.jpg
IWC,Portugieser,IW5001-25,Portuguese Automatic Red Gold / Year of the Dragon,"IWC caliber 51011
Hours, Minutes, Small Seconds | Date | Power Reserve Indicator",2012 - 2012,"Yes, 888 units",,Sapphire,Open,Round,42.30 mm,13.90 mm,22.00 mm,30.00 m,Anthracite,Grey,,Arabic Numerals,Feuille,"""23100""",,IW5001-25.jpg,processed_IW5001-25.jpg
IWC,Pilot,IW3787-08,Pilot's Watch Chronograph Spitfire Collectors Forum CF3,"IWC caliber 89365
Hours, Minutes, Small Seconds | Date | Chronograph, Flyback",2016 - 2016,"Yes, 250 units",,Sapphire,Closed,Round,43.00 mm,15.50 mm,,60.00 m,,Black,,Arabic Numerals,Alpha,,,IW3787-08.jpg,processed_IW3787-08.jpg
IWC,Ingenieur,IW1832-01,Ingenieur SL Jumbo Stainless Steel / Black,"IWC caliber 8541 ES
Hours, Minutes, Seconds | Date",1977 - 1980,No,,Sapphire,Closed,Cushion,38.00 mm,,,120.00 m,,Black,,Stick / Dot,Stick,,,IW1832-01.jpg,processed_IW1832-01.jpg
IWC,Portofino,IW3910-08,Portofino Chronograph Stainless Steel / Black,"IWC caliber 75320
Hours, Minutes, Small Seconds | Date, Day | Chronograph",2011 - 2019,No,,Sapphire,Closed,Round,42.00 mm,13.50 mm,,30.00 m,,Black,,Stick / Dot,Feuille,"""5650""",,IW3910-08.jpg,processed_IW3910-08.jpg
IWC,Ingenieur,IW4515-03,Ingenieur Midsize Gold Index,"IWC caliber 30110
Hours, Minutes, Seconds | Date",,No,,Sapphire,Closed,Round,34.00 mm,10.00 mm,,120.00 m,,Silver,,Stick / Dot,Stick,"""3640""",,IW4515-03.jpg,processed_IW4515-03.jpg
IWC,Portugieser,IW3266-06,Portugieser Yacht Club Worldtimer Stainless Steel / Solaris,"IWC caliber 35750
Hours, Minutes, Seconds, World Time | Date",2017,"Yes, 100 units",,Sapphire,Closed,Round,45.40 mm,14.00 mm,22.00 mm,60.00 m,,Blue,,Arabic Numerals,Feuille,,,IW3266-06.jpg,processed_IW3266-06.jpg
IWC,Portugieser,IW3583-13,Portugieser Automatic 40 Stainless Steel / Salmon,"IWC caliber 82200
Hours, Minutes, Small Seconds",2023,No,,Sapphire,Open,Round,40.40 mm,12.40 mm,20.00 mm,30.00 m,,Pink,Sunburst,Arabic Numerals,Feuille,"""7700""",,IW3583-13.jpg,processed_IW3583-13.jpg
IWC,Ingenieur,IW4515-01,Ingenieur Midsize Silver,"IWC caliber 30110
Hours, Minutes, Seconds | Date",,No,,Sapphire,Closed,Round,34.00 mm,10.00 mm,,120.00 m,,Silver,,Stick / Dot,Stick,"""3640""",,IW4515-01.jpg,processed_IW4515-01.jpg
IWC,Portugieser,IW5001-09,Portuguese Automatic Stainless Steel / Black,"IWC caliber 51011
Hours, Minutes, Small Seconds | Date | Power Reserve Indicator",2004 - 2015,No,,Sapphire,Open,Round,42.30 mm,13.90 mm,22.00 mm,30.00 m,,Black,,Arabic Numerals,Feuille,"""12100""",,IW5001-09.jpg,processed_IW5001-09.jpg
IWC,Ingenieur,IW3227-02,Ingenieur Automatic AMG / Bracelet,"IWC caliber 80110
Hours, Minutes, Seconds | Date",2005 - 2009,No,,Sapphire,Closed,Round,42.50 mm,14.50 mm,,120.00 m,,Black,,Mixed,Stick,"""5900""",,IW3227-02.jpg,processed_IW3227-02.jpg
IWC,Ingenieur,IW3239-02,Ingenieur Automatic Black,"IWC caliber 30110
Hours, Minutes, Seconds | Date",2013,No,,Sapphire,Closed,Round,40.00 mm,10.00 mm,,120.00 m,,Black,,Stick / Dot,Stick,"""6250""",,IW3239-02.jpg,processed_IW3239-02.jpg
IWC,Ingenieur,IW3227-03,Ingenieur Automatic AMG / Soft Strap,"IWC caliber 80110
Hours, Minutes, Seconds | Date",2005 - 2009,No,,Sapphire,Closed,Round,42.50 mm,14.50 mm,,120.00 m,,Black,,Arabic Numerals,Stick,"""5100""",,IW3227-03.jpg,processed_IW3227-03.jpg
IWC,Portugieser,IW3714-38,Portuguese Chrono-Automatic Stainless Steel / Black,"IWC caliber 79350
Hours, Minutes | Chronograph",2006 - 2012,No,,Sapphire,Closed,Round,40.90 mm,12.30 mm,20.00 mm,30.00 m,,Black,,Arabic Numerals,Feuille,"""7400""",,IW3714-38.jpg,processed_IW3714-38.jpg
IWC,Portofino,IW3564-03,Portofino Midsize Rose Gold / Silver,"IWC caliber 30110
Hours, Minutes, Seconds | Date",2007 - 2008,No,,Sapphire,Closed,Round,34.00 mm,8.20 mm,,30.00 m,,Silver,,Stick / Dot,Feuille,"""5100""",,IW3564-03.jpg,processed_IW3564-03.jpg
