Brand,Family,Reference,Name,Movement,Produced,Limited,Bezel,Glass,Back,Shape,Diameter,Height,Lug Width,W/R,Nickname,Color,Finish,Indexes,Hands,Materials
Rolex,Daytona,116518LN-0040,Cosmograph Daytona Yellow Gold / Cerachrom / Champagne / Oysterflex,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2017 - 2019,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Champagne,Sunburst,Stick / Dot,Stick,"Ceramic, Yellow Gold"
Rolex,Daytona,116519LN-0024,Cosmograph Daytona White Gold / Cerachrom / Silver / Oysterflex,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2017 - 2023,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Silver,Sunburst,Stick / Dot,Stick,"Ceramic, White Gold"
Rolex,Daytona,116503-0006,Cosmograph Daytona Stainless Steel / Yellow Gold / Champagne Diamond,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Champagne,Sunburst,Gem-Set Indexes,Stick,"Yellow Gold, Stainless Steel"
Rolex,Daytona,116508-0008,Cosmograph Daytona Yellow Gold / Black Diamond,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Black,,Gem-Set Indexes,Stick,Yellow Gold
Rolex,Daytona,116509-0055 (aka: m116509-0055),Cosmograph Daytona White Gold / Black - Diamond,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Black,,Gem-Set Indexes,Stick,White Gold
Rolex,Daytona,116509-0064,Cosmograph Daytona White Gold / MOP Diamond,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,White,,Gem-Set Indexes,Stick,Mother of Pearl
Rolex,Daytona,116509-0044,Cosmograph Daytona White Gold / Black MOP / Diamonds,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Black,,Gem-Set Indexes,Stick,Mother of Pearl
Rolex,Daytona,116508-0006,Cosmograph Daytona Yellow Gold / Champagne Diamond,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Champagne,Sunburst,Gem-Set Indexes,Stick,Yellow Gold
Rolex,Daytona,116503-0007,Cosmograph Daytona Stainless Steel / Yellow Gold / MOP Diamonds,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,White,,Gem-Set Indexes,Stick,"Yellow Gold, Stainless Steel"
Rolex,Daytona,116508-0007,Cosmograph Daytona Yellow Gold / MOP Diamond,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,White,,Gem-Set Indexes,Stick,Mother of Pearl
Rolex,Daytona,116508-0001 (aka: M116508-0001),Cosmograph Daytona Yellow Gold / White,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,White,,Stick / Dot,Stick,Yellow Gold
Rolex,Daytona,116515LN-0016,Cosmograph Daytona Everose / Cerachrom / Pink - Baguette / Oysterflex,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2017 - 2021,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Pink,Sunburst,Gem-Set Indexes,Stick,"Ceramic, Rose Gold"
Rolex,Daytona,116508-0003 (aka: M116508-0003),Cosmograph Daytona Yellow Gold / Champagne,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Champagne,Sunburst,Stick / Dot,Stick,Yellow Gold
Rolex,Daytona,116508-0009 (aka: m116508-0009),Cosmograph Daytona Yellow Gold / Black,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,Paul Newman,Black,,Stick / Dot,Stick,Yellow Gold
Rolex,Daytona,116508-0004 (aka: m116508-0004),Cosmograph Daytona Yellow Gold / Black,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Black,,Stick / Dot,Stick,Yellow Gold
Rolex,Daytona,116509-0072,Cosmograph Daytona White Gold / Silver,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2018,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Silver,Sunburst,Stick / Dot,Stick,White Gold
